genes	AMC_19.1_FPKM
A1BG	0.858918
A1BG-AS1	0.0911975
A1CF	6.98132
A2LD1	3.72507
A2M	95.6965
A2ML1	0
A2MP1	0
A4GALT	1.67428
A4GNT	0
AA06	0
AAAS	9.94689
AACS	12.2506
AACSP1	0
AADAC	0.221196
AADACL2	0
AADACL3	0
AADACL4	0
AADAT	1.76887
AAED1	1.51237
AAGAB	24.6809
AAK1	2.24514
AAMP	64.9596
AANAT	0
AARD	0.172419
AARS	20.0868
AARS2	3.3288
AARSD1	9.02919
AASDH	3.15619
AASDHPPT	9.55845
AASS	1.20943
AATF	13.355
AATK	2.80178
AATK-AS1	0
ABAT	7.82257
ABCA1	6.21601
ABCA10	0.582778
ABCA11P	2.97711
ABCA12	0.0884186
ABCA13	0.0597887
ABCA17P	0.0151281
ABCA2	6.64396
ABCA3	1.09517
ABCA4	0.0327991
ABCA5	11.6556
ABCA6	0.503138
ABCA7	1.60373
ABCA8	4.64758
ABCA9	0.337097
ABCB1	22.8445
ABCB10	7.78132
ABCB11	0.238691
ABCB4	0.312255
ABCB5	0.00830063
ABCB6	1.92719
ABCB7	9.23971
ABCB8	3.7411
ABCB9	0.702404
ABCC1	3.64956
ABCC10	3.14844
ABCC11	0
ABCC12	0
ABCC13	2.5557
ABCC2	0.0674952
ABCC3	33.2833
ABCC4	3.02401
ABCC5	5.64748
ABCC5-AS1	0
ABCC6	5.03874
ABCC6P1	1.52583
ABCC6P2	5.07785
ABCC8	0.110482
ABCC9	2.41722
ABCD1	3.65737
ABCD2	0.467207
ABCD3	39.9861
ABCD4	9.94887
ABCE1	13.4743
ABCF1	14.7297
ABCF2	12.3104
ABCF3	14.8566
ABCG1	21.3869
ABCG2	5.83054
ABCG4	0.030547
ABCG5	0.0362176
ABCG8	0.0202064
ABHD1	0
ABHD10	14.838
ABHD11	29.7525
ABHD11-AS1	17.8438
ABHD12	19.4317
ABHD12B	0.0837924
ABHD13	6.861
ABHD14A	5.08359
ABHD14A-ACY1	0.157423
ABHD14B	39.5529
ABHD15	7.52331
ABHD16A	22.9747
ABHD16B	1.43721
ABHD2	15.978
ABHD3	48.8927
ABHD4	6.94334
ABHD5	5.41589
ABHD6	5.83655
ABHD8	2.08027
ABI1	38.9587
ABI2	3.63237
ABI3	4.17132
ABI3BP	5.96895
ABL1	16.3384
ABL2	2.1538
ABLIM1	29.3584
ABLIM2	2.43548
ABLIM3	1.44498
ABO	15.8885
ABP1	127.773
ABR	31.7605
ABRA	0
ABRACL	112.662
ABT1	17.9099
ABTB1	10.1086
ABTB2	4.72053
ACAA1	48.4228
ACAA2	74.594
ACACA	4.06281
ACACB	4.57362
ACAD10	8.71578
ACAD11	1.8619
ACAD8	13.4449
ACAD9	9.551
ACADL	0
ACADM	27.2836
ACADS	59.0088
ACADSB	12.6706
ACADVL	100.215
ACAN	0.10036
ACAP1	2.9749
ACAP2	11.2314
ACAP3	5.03684
ACAT1	79.0369
ACAT2	14.9691
ACBD3	23.2492
ACBD4	5.85145
ACBD5	18.3361
ACBD6	8.37798
ACBD7	0.330825
ACCS	2.61993
ACCSL	0
ACD	2.45004
ACE	7.40622
ACE2	4.35141
ACER1	0
ACER2	4.16255
ACER3	9.07633
ACHE	8.21278
ACIN1	19.5986
ACLY	23.4692
ACMSD	0
ACN9	9.65047
ACO1	15.2246
ACO2	54.1406
ACOT1	3.45996
ACOT11	15.3637
ACOT12	0
ACOT13	13.2795
ACOT2	22.4833
ACOT4	1.94631
ACOT6	0
ACOT7	13.8343
ACOT8	20.3185
ACOT9	12.5212
ACOX1	17.0764
ACOX2	4.80395
ACOX3	4.0667
ACOXL	0.390652
ACP1	48.7368
ACP2	18.2178
ACP5	21.7269
ACP6	6.65554
ACPL2	3.06249
ACPP	4.06997
ACPT	0.0194696
ACR	0.310854
ACRBP	0.508803
ACRC	0.115492
ACRV1	0
ACSBG1	0.0998123
ACSBG2	0
ACSF2	21.8802
ACSF3	5.51024
ACSL1	3.48685
ACSL3	36.4456
ACSL4	6.1215
ACSL5	93.5107
ACSL6	0.208811
ACSM1	2.65999
ACSM2A	0.0106708
ACSM2B	0.0403246
ACSM3	20.7604
ACSM4	0
ACSM5	0.342335
ACSS1	13.8141
ACSS2	65.6829
ACSS3	0.550023
ACTA1	0.0473161
ACTA2	146.491
ACTB	1161.65
ACTBL2	0
ACTC1	0.0274589
ACTG1	943.552
ACTG1P4	0.0498969
ACTG2	53.2086
ACTL10	1.60247
ACTL6A	40.6636
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	0.203472
ACTL9	0
ACTN1	26.331
ACTN2	0
ACTN3	0
ACTN4	143.637
ACTR10	19.6295
ACTR1A	29.8986
ACTR1B	27.299
ACTR2	156.525
ACTR3	87.1728
ACTR3B	2.43207
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	3.10344
ACTR5	2.40932
ACTR6	11.5904
ACTR8	7.12782
ACTRT1	0
ACTRT2	0
ACTRT3	0.73304
ACVR1	6.37273
ACVR1B	38.7346
ACVR1C	2.9833
ACVR2A	4.44247
ACVR2B	1.44375
ACVRL1	46.5861
ACY1	19.6587
ACY3	4.39437
ACYP1	8.55906
ACYP2	5.02488
ADA	1.20116
ADAD1	0
ADAD2	0.0114155
ADAL	1.14881
ADAM1	1.38755
ADAM10	36.4759
ADAM11	0.0296235
ADAM12	0.29661
ADAM15	27.0023
ADAM17	5.11305
ADAM18	0
ADAM19	2.62815
ADAM2	0
ADAM20	0.027132
ADAM20P1	0.0628148
ADAM21	0.0137908
ADAM21P1	0
ADAM22	0.680131
ADAM23	0.453232
ADAM28	6.29016
ADAM29	0
ADAM30	0
ADAM32	0.574697
ADAM33	1.91387
ADAM3A	0
ADAM5P	0
ADAM6	0
ADAM7	0
ADAM8	1.83744
ADAM9	58.1355
ADAMDEC1	112.948
ADAMTS1	4.70523
ADAMTS10	0.756403
ADAMTS12	0.1699
ADAMTS13	0.768976
ADAMTS14	0.549533
ADAMTS15	1.21388
ADAMTS16	0.0251802
ADAMTS17	0.302641
ADAMTS18	0.00505004
ADAMTS19	0.0609808
ADAMTS2	0.673971
ADAMTS20	0
ADAMTS3	0.152453
ADAMTS4	0.229272
ADAMTS5	0.360038
ADAMTS6	0.155727
ADAMTS7	0.524893
ADAMTS8	0.430714
ADAMTS9	0.707094
ADAMTS9-AS2	0.57032
ADAMTSL1	1.68017
ADAMTSL2	0.582464
ADAMTSL3	1.06684
ADAMTSL4	1.80646
ADAMTSL5	0.536826
ADAP1	31.4575
ADAP2	2.00755
ADAR	27.9346
ADARB1	1.69774
ADARB2	0.0195753
ADARB2-AS1	0
ADAT1	4.07587
ADAT2	1.17514
ADAT3	3.18292
ADC	1.43609
ADCK1	3.05599
ADCK2	12.276
ADCK3	15.058
ADCK4	7.08846
ADCK5	8.07693
ADCY1	0.155087
ADCY10	0.0472053
ADCY2	0.253686
ADCY3	3.82439
ADCY4	1.60691
ADCY5	1.94524
ADCY6	22.3095
ADCY7	4.6887
ADCY8	0
ADCY9	5.58244
ADCYAP1	1.26378
ADCYAP1R1	0.172225
ADD1	39.8129
ADD2	0.713067
ADD3	57.6484
ADGB	0.113273
ADH1A	0.457256
ADH1B	80.0394
ADH1C	526.203
ADH4	0.901207
ADH5	74.116
ADH6	3.00602
ADH7	0
ADHFE1	1.83967
ADI1	83.8204
ADIG	0
ADIPOQ	0
ADIPOQ-AS1	0
ADIPOR1	42.2734
ADIPOR2	35.1548
ADK	10.9914
ADM	15.7117
ADM2	1.31887
ADNP	15.4711
ADNP2	5.27726
ADO	6.84983
ADORA1	0.261029
ADORA2A	1.66272
ADORA2B	5.76034
ADORA3	1.98374
ADPGK	14.3068
ADPRH	1.33198
ADPRHL1	1.93393
ADPRHL2	11.2956
ADRA1A	0.0698974
ADRA1B	0.152185
ADRA1D	0.0467796
ADRA2A	1.79576
ADRA2B	0.31911
ADRA2C	0.257316
ADRB1	0.853718
ADRB2	1.28034
ADRB3	0.218071
ADRBK1	31.3026
ADRBK2	0.980678
ADRM1	30.0655
ADSL	19.7904
ADSS	22.5206
ADSSL1	1.33537
ADTRP	69.9646
AEBP1	14.7187
AEBP2	5.85987
AEN	3.88055
AES	213.345
AFAP1	7.09624
AFAP1-AS1	0.0836337
AFAP1L1	0.916918
AFAP1L2	4.21771
AFF1	10.6571
AFF2	0.00938716
AFF3	0.594361
AFF4	12.5004
AFG3L1P	2.3787
AFG3L2	41.4088
AFM	0.0610727
AFMID	7.83938
AFP	0
