genes	AMC_9.1_FPKM
A1BG	1.26238
A1BG-AS1	0.212198
A1CF	0.0536314
A2LD1	1.67922
A2M	399.887
A2ML1	0
A2MP1	0.0716647
A4GALT	19.0144
A4GNT	0
AA06	0
AAAS	16.9701
AACS	3.26001
AACSP1	0
AADAC	0.257259
AADACL2	0
AADACL3	0
AADACL4	0
AADAT	2.19936
AAED1	9.40664
AAGAB	9.13138
AAK1	1.84097
AAMP	40.9313
AANAT	0.0238146
AARD	0.541847
AARS	32.9462
AARS2	2.87065
AARSD1	11.5483
AASDH	2.74553
AASDHPPT	8.90561
AASS	3.81567
AATF	13.9252
AATK	1.4504
AATK-AS1	0
ABAT	2.33962
ABCA1	9.38825
ABCA10	0.282512
ABCA11P	1.80925
ABCA12	0.0101415
ABCA13	0
ABCA17P	0.0344368
ABCA2	6.80461
ABCA3	5.54892
ABCA4	0.447615
ABCA5	1.12612
ABCA6	1.5594
ABCA7	2.32217
ABCA8	7.61259
ABCA9	1.47527
ABCB1	2.36812
ABCB10	5.07437
ABCB11	0.0167368
ABCB4	0.46971
ABCB5	0.536418
ABCB6	5.82029
ABCB7	7.92116
ABCB8	4.30275
ABCB9	0.90798
ABCC1	10.9822
ABCC10	4.87178
ABCC11	0
ABCC12	0
ABCC13	0
ABCC2	0.168643
ABCC3	1.96612
ABCC4	3.30225
ABCC5	11.9834
ABCC5-AS1	0.188226
ABCC6	0.300799
ABCC6P1	0.00826837
ABCC6P2	0.526674
ABCC8	0.0915559
ABCC9	11.8188
ABCD1	6.77559
ABCD2	0.291528
ABCD3	10.1211
ABCD4	9.99773
ABCE1	9.33885
ABCF1	13.9012
ABCF2	11.3873
ABCF3	10.5914
ABCG1	7.74235
ABCG2	0.843954
ABCG4	0.31946
ABCG5	0
ABCG8	0.0329775
ABHD1	0.0342376
ABHD10	5.34566
ABHD11	4.06645
ABHD11-AS1	0.135872
ABHD12	16.4325
ABHD12B	0.0332954
ABHD13	4.16982
ABHD14A	6.63021
ABHD14A-ACY1	0.328699
ABHD14B	17.235
ABHD15	3.96826
ABHD16A	18.9774
ABHD16B	1.41311
ABHD2	13.5297
ABHD3	5.22226
ABHD4	15.3084
ABHD5	5.02488
ABHD6	5.13997
ABHD8	7.265
ABI1	18.1236
ABI2	8.78581
ABI3	8.05644
ABI3BP	9.75472
ABL1	36.6541
ABL2	3.95093
ABLIM1	11.3904
ABLIM2	2.76943
ABLIM3	9.61799
ABO	2.76626
ABP1	0.8834
ABR	18.1253
ABRA	0.0982641
ABRACL	22.9987
ABT1	10.8628
ABTB1	26.6522
ABTB2	1.23303
ACAA1	24.0788
ACAA2	20.5734
ACACA	4.29788
ACACB	8.28125
ACAD10	4.91807
ACAD11	6.34255
ACAD8	7.70427
ACAD9	9.23777
ACADL	0.109086
ACADM	14.7953
ACADS	8.12627
ACADSB	3.83671
ACADVL	100.02
ACAN	0.90914
ACAP1	4.63508
ACAP2	6.92654
ACAP3	14.1415
ACAT1	21.8222
ACAT2	5.3968
ACBD3	15.3315
ACBD4	7.72866
ACBD5	5.70461
ACBD6	13.6821
ACBD7	0.0466257
ACCS	3.63977
ACCSL	0.0513016
ACD	6.28415
ACE	9.79497
ACE2	0.110661
ACER1	0
ACER2	1.67929
ACER3	2.72114
ACHE	2.79829
ACIN1	31.1733
ACLY	26.3734
ACMSD	0
ACN9	4.45219
ACO1	16.2417
ACO2	20.8013
ACOT1	7.66504
ACOT11	1.57861
ACOT12	0.0699889
ACOT13	3.23319
ACOT2	30.9434
ACOT4	1.00896
ACOT6	0.0589319
ACOT7	13.2354
ACOT8	8.18104
ACOT9	19.9702
ACOX1	5.29717
ACOX2	6.64964
ACOX3	5.32012
ACOXL	0.0517694
ACP1	23.1131
ACP2	16.8202
ACP5	22.2717
ACP6	2.99921
ACPL2	3.42915
ACPP	0.461163
ACPT	0
ACR	0.163721
ACRBP	1.21424
ACRC	0.362829
ACRV1	0
ACSBG1	0.671421
ACSBG2	0
ACSF2	4.93146
ACSF3	3.67336
ACSL1	16.2466
ACSL3	11.9082
ACSL4	13.647
