genes	AMC_10.3_FPKM
A1BG	1458.24
A1BG-AS1	1.34987
A1CF	47.9119
A2LD1	7.00769
A2M	717.623
A2ML1	0.0216457
A2MP1	0
A4GALT	1.00583
A4GNT	0
AA06	0
AAAS	12.4632
AACS	3.74669
AACSP1	0
AADAC	405.783
AADACL2	0
AADACL3	0
AADACL4	0
AADAT	19.9458
AAED1	4.55417
AAGAB	10.2461
AAK1	1.08287
AAMP	58.1138
AANAT	0
AARD	0
AARS	47.8093
AARS2	3.27563
AARSD1	18.2426
AASDH	2.58383
AASDHPPT	16.0412
AASS	30.4342
AATF	17.2018
AATK	0.709391
AATK-AS1	0
ABAT	236.241
ABCA1	21.8882
ABCA10	2.2624
ABCA11P	3.29263
ABCA12	0.0106243
ABCA13	0.0269165
ABCA17P	0.0484007
ABCA2	12.0587
ABCA3	1.48989
ABCA4	0.286072
ABCA5	6.0306
ABCA6	35.8958
ABCA7	1.41552
ABCA8	18.3403
ABCA9	3.51655
ABCB1	22.8284
ABCB10	8.70708
ABCB11	42.2038
ABCB4	62.4641
ABCB5	0
ABCB6	12.5873
ABCB7	14.4686
ABCB8	4.81904
ABCB9	0.388332
ABCC1	2.89247
ABCC10	1.96045
ABCC11	1.26571
ABCC12	0
ABCC13	0
ABCC2	31.5305
ABCC3	35.2144
ABCC4	1.53488
ABCC5	3.93272
ABCC5-AS1	0
ABCC6	43.4037
ABCC6P1	9.23024
ABCC6P2	5.43814
ABCC8	0
ABCC9	15.63
ABCD1	5.14511
ABCD2	0.140332
ABCD3	77.3143
ABCD4	11.2952
ABCE1	19.4279
ABCF1	19.6927
ABCF2	7.99052
ABCF3	18.4071
ABCG1	4.57902
ABCG2	7.68485
ABCG4	0.0261912
ABCG5	29.4492
ABCG8	25.6712
ABHD1	0.454218
ABHD10	19.7947
ABHD11	9.71243
ABHD11-AS1	0.283074
ABHD12	29.6009
ABHD12B	0.0749215
ABHD13	6.32568
ABHD14A	7.89829
ABHD14A-ACY1	0.129633
ABHD14B	66.8681
ABHD15	19.6246
