genes	AMC_3.3_FPKM
A1BG	0.516439
A1BG-AS1	0.0841473
A1CF	8.48517
A2LD1	6.5378
A2M	63.6526
A2ML1	0.0076687
A2MP1	0.0265811
A4GALT	1.42278
A4GNT	0
AA06	0
AAAS	10.8354
AACS	12.382
AACSP1	0
AADAC	0.212031
AADACL2	0.156761
AADACL3	0
AADACL4	0
AADAT	2.12317
AAED1	1.90284
AAGAB	22.0897
AAK1	1.95432
AAMP	57.2975
AANAT	0.0386741
AARD	0.0847054
AARS	16.5896
AARS2	3.77127
AARSD1	8.73363
AASDH	3.03853
AASDHPPT	9.64181
AASS	1.17848
AATF	12.6873
AATK	1.19264
AATK-AS1	0
ABAT	9.11427
ABCA1	4.67761
ABCA10	0.828394
ABCA11P	3.09731
ABCA12	0
ABCA13	0.0726144
ABCA17P	0.00807541
ABCA2	7.39626
ABCA3	0.7313
ABCA4	0.0221925
ABCA5	8.41136
ABCA6	1.45524
ABCA7	2.17329
ABCA8	9.96759
ABCA9	0.784671
ABCB1	29.8221
ABCB10	8.7872
ABCB11	0.2758
ABCB4	0.390126
ABCB5	0.160321
ABCB6	2.70087
ABCB7	10.1788
ABCB8	3.55697
ABCB9	0.943547
ABCC1	4.58874
ABCC10	3.61835
ABCC11	0.018789
ABCC12	0
ABCC13	4.38313
ABCC2	0.0889769
ABCC3	34.5127
ABCC4	9.23511
ABCC5	7.15292
ABCC5-AS1	0
ABCC6	4.81268
ABCC6P1	1.02026
ABCC6P2	3.55842
ABCC8	0.251539
ABCC9	1.82013
ABCD1	3.08468
ABCD2	0.401153
ABCD3	48.7922
ABCD4	9.98495
ABCE1	14.7812
ABCF1	13.63
ABCF2	14.0168
ABCF3	12.7891
ABCG1	12.3748
ABCG2	12.8734
ABCG4	0.0262435
ABCG5	0.0394926
ABCG8	0.126554
ABHD1	0.0462317
ABHD10	11.8328
ABHD11	24.8686
ABHD11-AS1	13.7962
ABHD12	22.4171
ABHD12B	0
ABHD13	5.45848
ABHD14A	4.44043
ABHD14A-ACY1	0.00408803
ABHD14B	36.1125
ABHD15	8.0841
ABHD16A	19.7858
ABHD16B	1.45495
ABHD2	15.9675
ABHD3	36.9784
ABHD4	8.30122
ABHD5	6.43483
ABHD6	6.73638
ABHD8	2.25233
ABI1	31.9553
ABI2	3.8077
ABI3	3.69813
ABI3BP	6.90483
ABL1	20.2596
ABL2	1.73426
ABLIM1	31.7369
ABLIM2	2.55023
ABLIM3	1.31204
ABO	17.1291
ABP1	128.262
ABR	33.7687
ABRA	0
ABRACL	114.403
ABT1	15.5602
ABTB1	14.1772
ABTB2	2.67869
ACAA1	53.9944
ACAA2	126.219
ACACA	3.70883
ACACB	5.23092
ACAD10	10.1482
ACAD11	1.31842
ACAD8	12.6504
ACAD9	10.0804
ACADL	0.0825651
ACADM	39.4429
ACADS	72.0897
ACADSB	13.3554
ACADVL	129.239
ACAN	0.0634905
ACAP1	2.74434
ACAP2	11.7057
ACAP3	6.02437
ACAT1	81.9717
ACAT2	14.4007
ACBD3	22.1997
ACBD4	5.82909
ACBD5	18.8916
ACBD6	10.6805
ACBD7	0.726977
ACCS	1.54022
ACCSL	0
ACD	2.70168
ACE	9.49431
ACE2	6.6416
ACER1	0
ACER2	3.26687
ACER3	8.53299
ACHE	5.15816
ACIN1	21.5478
ACLY	22.2019
ACMSD	0.024575
ACN9	8.5879
ACO1	14.5983
ACO2	58.0507
ACOT1	6.74303
ACOT11	14.9152
ACOT12	0.0166371
ACOT13	11.0642
ACOT2	24.2654
ACOT4	3.35188
ACOT6	0.0429762
ACOT7	20.5761
ACOT8	22.1078
ACOT9	10.6378
ACOX1	22.1073
ACOX2	5.01384
ACOX3	4.05722
ACOXL	0.200894
ACP1	50.7494
ACP2	20.6501
ACP5	21.8301
ACP6	7.55827
ACPL2	3.16707
ACPP	3.29323
ACPT	0
ACR	0.452034
ACRBP	0.640967
ACRC	0.209465
ACRV1	0
ACSBG1	0.118451
ACSBG2	0.00961891
