genes	AMC_24.3_FPKM
A1BG	381.644
A1BG-AS1	0.336663
A1CF	9.19443
A2LD1	11.7528
A2M	187.782
A2ML1	0.00585484
A2MP1	0.0613735
A4GALT	2.23943
A4GNT	0.105319
AA06	0
AAAS	13.7421
AACS	6.21235
AACSP1	0
AADAC	98.2864
AADACL2	0
AADACL3	0
AADACL4	0
AADAT	6.24572
AAED1	5.46411
AAGAB	11.5606
AAK1	0.980638
AAMP	70.3892
AANAT	0.0408938
AARD	0.0185822
AARS	39.9329
AARS2	2.93452
AARSD1	16.617
AASDH	2.13337
AASDHPPT	12.1136
AASS	3.22103
AATF	19.7731
AATK	8.92234
AATK-AS1	0
ABAT	46.1042
ABCA1	9.68253
ABCA10	0.326511
ABCA11P	1.49179
ABCA12	0.0215606
ABCA13	0.0196594
ABCA17P	0.00887932
ABCA2	11.2953
ABCA3	0.744153
ABCA4	0.0283011
ABCA5	3.12032
ABCA6	6.73454
ABCA7	3.49571
ABCA8	2.19803
ABCA9	0.772163
ABCB1	3.01353
ABCB10	7.45199
ABCB11	4.91322
ABCB4	12.2324
ABCB5	0.0279143
ABCB6	4.63329
ABCB7	9.92412
ABCB8	3.84486
ABCB9	1.16266
ABCC1	5.9867
ABCC10	3.87328
ABCC11	0.194613
ABCC12	0
ABCC13	0.0705654
ABCC2	6.53062
ABCC3	31.9438
ABCC4	2.92012
ABCC5	6.43298
ABCC5-AS1	0
ABCC6	5.85088
ABCC6P1	0.813989
ABCC6P2	1.24621
ABCC8	0
ABCC9	4.07914
ABCD1	4.261
ABCD2	0.182905
ABCD3	28.2667
ABCD4	7.8924
ABCE1	25.3834
ABCF1	17.8922
ABCF2	13.7673
ABCF3	15.9643
ABCG1	22.3167
ABCG2	1.7061
ABCG4	0.0353583
ABCG5	4.45456
ABCG8	3.25839
ABHD1	0.242371
ABHD10	11.7829
ABHD11	24.7449
ABHD11-AS1	13.9798
ABHD12	31.8338
ABHD12B	0.0530587
ABHD13	6.62192
ABHD14A	4.44279
ABHD14A-ACY1	0.021495
ABHD14B	39.2935
ABHD15	5.73094
ABHD16A	18.6459
ABHD16B	3.55834
ABHD2	84.4541
ABHD3	12.1109
ABHD4	7.95058
ABHD5	3.2839
ABHD6	12.1755
ABHD8	4.03494
ABI1	29.1192
ABI2	4.27021
ABI3	6.15409
ABI3BP	1.12834
ABL1	15.3527
ABL2	2.7428
ABLIM1	23.4914
ABLIM2	6.45756
ABLIM3	12.3913
ABO	9.87621
ABP1	33.1974
ABR	17.3665
ABRA	0.0237831
ABRACL	49.9306
ABT1	21.9288
ABTB1	19.2277
ABTB2	5.56096
ACAA1	91.3669
ACAA2	109.393
ACACA	4.15898
ACACB	5.22381
ACAD10	4.22528
ACAD11	9.15473
ACAD8	8.37106
ACAD9	10.7578
ACADL	2.87581
ACADM	38.6748
ACADS	35.487
ACADSB	23.5617
ACADVL	203.296
ACAN	0.214896
ACAP1	2.86718
ACAP2	7.94608
ACAP3	5.56676
ACAT1	90.8596
ACAT2	29.2147
ACBD3	26.2176
ACBD4	9.96869
ACBD5	16.8569
ACBD6	15.3032
ACBD7	0.17959
ACCS	4.50117
ACCSL	0
ACD	4.94793
ACE	8.20148
ACE2	0.750957
ACER1	0
ACER2	3.2885
ACER3	3.91042
ACHE	4.3185
ACIN1	22.8051
ACLY	32.7161
ACMSD	10.3144
ACN9	5.21109
ACO1	20.9926
ACO2	33.9346
ACOT1	7.05281
ACOT11	3.93757
ACOT12	4.58441
ACOT13	5.5184
ACOT2	29.3428
ACOT4	3.23202
ACOT6	0.249442
ACOT7	14.8318
ACOT8	19.9776
ACOT9	16.6293
ACOX1	20.7872
ACOX2	14.7897
ACOX3	4.12682
ACOXL	0.0515263
ACP1	48.0864
ACP2	25.5197
ACP5	64.413
ACP6	9.17332
ACPL2	2.20493
ACPP	0.138409
ACPT	0.0275271
ACR	0.0560693
ACRBP	0.613703
ACRC	0.230136
ACRV1	0.0647187
ACSBG1	0.0400591
ACSBG2	0.0107953
ACSF2	11.1023
ACSF3	5.37462
ACSL1	75.1785
ACSL3	18.9555
ACSL4	12.0886
ACSL5	154.485
ACSL6	7.03226
ACSM1	0.825793
ACSM2A	16.026
ACSM2B	23.0398
ACSM3	13.7953
ACSM4	0
ACSM5	9.74712
ACSS1	13.7354
ACSS2	33.2404
ACSS3	8.5097
ACTA1	0
ACTA2	138.186
ACTB	2031.3
ACTBL2	0.03077
ACTC1	0.029747
ACTG1	1656.45
ACTG1P4	0
ACTG2	4.15179
ACTL10	3.58108
ACTL6A	33.991
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	79.7143
ACTN2	0.0399484
ACTN3	0.0167013
ACTN4	218.508
ACTR10	18.5278
ACTR1A	21.377
ACTR1B	30.9581
ACTR2	119.601
ACTR3	96.252
ACTR3B	3.22336
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	2.82429
ACTR5	4.49256
ACTR6	10.7967
ACTR8	5.95354
ACTRT1	0
ACTRT2	0
ACTRT3	2.41942
ACVR1	8.98263
ACVR1B	28.4622
ACVR1C	0.250847
ACVR2A	2.36218
ACVR2B	2.28401
ACVRL1	5.95038
ACY1	56.2193
ACY3	3.07994
ACYP1	8.98206
ACYP2	7.52471
ADA	3.4645
ADAD1	0
ADAD2	0.0506389
ADAL	1.51686
ADAM1	0.703357
ADAM10	26.1165
ADAM11	0.00643937
ADAM12	0.829419
ADAM15	30.2788
ADAM17	7.59711
ADAM18	0
ADAM19	6.06438
ADAM2	0
ADAM20	0.0273667
ADAM20P1	0.0256569
ADAM21	0.0705371
ADAM21P1	0
ADAM22	0.472711
ADAM23	0.469387
ADAM28	1.7931
ADAM29	0.0119293
ADAM30	0
ADAM32	0.563994
ADAM33	0.178069
ADAM3A	0
ADAM5P	0
ADAM6	0
ADAM7	0
ADAM8	10.858
ADAM9	44.4733
ADAMDEC1	4.83431
ADAMTS1	5.57671
ADAMTS10	1.35694
ADAMTS12	2.40731
ADAMTS13	1.76165
ADAMTS14	0.511964
ADAMTS15	0.860593
ADAMTS16	0.077828
ADAMTS17	0.302694
ADAMTS18	0.0113077
ADAMTS19	0
ADAMTS2	11.559
ADAMTS20	0
ADAMTS3	0.0958076
ADAMTS4	4.36751
ADAMTS5	1.00221
ADAMTS6	0.116897
ADAMTS7	1.21274
ADAMTS8	0.0746402
ADAMTS9	1.40375
ADAMTS9-AS2	0.163147
ADAMTSL1	0.307639
ADAMTSL2	8.87466
ADAMTSL3	1.12288
ADAMTSL4	10.0314
ADAMTSL5	2.30621
ADAP1	34.8385
ADAP2	4.03016
ADAR	25.523
ADARB1	1.98826
ADARB2	0.0611536
ADARB2-AS1	0
ADAT1	3.01408
ADAT2	1.65858
ADAT3	2.63102
ADC	0.653576
ADCK1	1.96812
ADCK2	8.87726
ADCK3	28.9231
ADCK4	8.60101
ADCK5	6.42431
ADCY1	1.93815
ADCY10	0.114452
ADCY2	0.0265599
ADCY3	10.0984
ADCY4	1.39873
ADCY5	0.983059
ADCY6	11.5541
ADCY7	5.73494
ADCY8	0.0248061
ADCY9	3.77825
ADCYAP1	0
ADCYAP1R1	0.0709517
ADD1	24.2574
ADD2	0.0810901
ADD3	32.4561
ADGB	0.00590449
ADH1A	80.4766
ADH1B	451.391
ADH1C	207.148
ADH4	96.386
ADH5	54.3887
ADH6	19.0312
ADH7	0
ADHFE1	3.71106
ADI1	113.392
ADIG	0
ADIPOQ	0.00915326
ADIPOQ-AS1	0
ADIPOR1	62.6639
ADIPOR2	31.7373
ADK	22.4868
ADM	14.4244
ADM2	2.32805
ADNP	24.1468
ADNP2	4.587
ADO	9.87527
ADORA1	0.951179
ADORA2A	1.8683
ADORA2B	9.95784
ADORA3	5.01032
ADPGK	16.1631
ADPRH	2.64257
ADPRHL1	1.71537
ADPRHL2	17.9054
ADRA1A	4.75375
ADRA1B	1.76112
ADRA1D	0.135481
ADRA2A	3.19358
ADRA2B	0.756121
ADRA2C	0.62344
ADRB1	0.0880596
ADRB2	2.2026
ADRB3	0.258364
ADRBK1	63.7373
ADRBK2	1.52408
ADRM1	78.634
ADSL	24.1347
ADSS	24.8353
ADSSL1	4.24807
ADTRP	1.29035
AEBP1	54.8951
AEBP2	5.94796
AEN	14.6596
AES	178.422
AFAP1	4.41967
AFAP1-AS1	0.0766348
AFAP1L1	2.9748
AFAP1L2	3.80377
AFF1	7.23642
AFF2	0
AFF3	0.197678
AFF4	12.6649
AFG3L1P	2.28975
AFG3L2	17.9847
AFM	14.9791
AFMID	24.5652
AFP	0.281108
AFTPH	15.3687
AGA	7.63049
AGAP1	5.92306
AGAP11	0.154302
AGAP2	1.26923
AGAP3	21.552
AGAP4	1.51265
AGAP5	1.32345
AGAP6	3.22614
AGAP7	0.657231
AGAP8	1.24732
AGAP9	0.808818
AGBL1	0
AGBL2	0.103609
AGBL3	0.0367566
AGBL4	0.0460105
AGBL5	6.23893
AGER	1.0002
AGFG1	9.69716
AGFG2	11.1077
AGGF1	7.18504
AGK	5.89751
AGL	4.5197
AGMAT	12.2096
AGMO	9.47145
AGPAT1	21.4216
AGPAT2	136.63
AGPAT3	19.2256
AGPAT4	0.699701
AGPAT4-IT1	0.138027
AGPAT5	9.77501
AGPAT6	14.0072
AGPAT9	5.21526
AGPHD1	1.37867
AGPS	12.9926
AGR2	114.038
AGR3	19.7665
