genes	AMC_8.2_FPKM
A1BG	0.886083
A1BG-AS1	0.191293
A1CF	6.44466
A2LD1	3.82535
A2M	81.6404
A2ML1	0.0101664
A2MP1	0.0357478
A4GALT	2.17918
A4GNT	0
AA06	0
AAAS	11.7219
AACS	11.7232
AACSP1	0
AADAC	0.0315113
AADACL2	0.0345608
AADACL3	0
AADACL4	0.0317161
AADAT	1.20136
AAED1	2.32652
AAGAB	16.5965
AAK1	1.78579
AAMP	63.6013
AANAT	0
AARD	0.192994
AARS	19.3219
AARS2	3.54555
AARSD1	9.90567
AASDH	2.57405
AASDHPPT	6.62562
AASS	1.0533
AATF	14.5732
AATK	0.384907
AATK-AS1	0
ABAT	8.79714
ABCA1	5.42513
ABCA10	0.690992
ABCA11P	2.37659
ABCA12	0.00507545
ABCA13	0.0386054
ABCA17P	0.0105262
ABCA2	9.78289
ABCA3	0.705657
ABCA4	0
ABCA5	7.44035
ABCA6	0.800134
ABCA7	3.85842
ABCA8	4.95819
ABCA9	0.580068
ABCB1	20.3557
ABCB10	8.28345
ABCB11	0.56283
ABCB4	0.229575
ABCB5	0.113495
ABCB6	2.54539
ABCB7	8.20966
ABCB8	3.77719
ABCB9	1.37026
ABCC1	7.19875
ABCC10	4.82707
ABCC11	0.00839764
ABCC12	0
ABCC13	1.18524
ABCC2	0.133978
ABCC3	40.9589
ABCC4	3.07523
ABCC5	8.57349
ABCC5-AS1	0
ABCC6	5.19913
ABCC6P1	1.49366
ABCC6P2	3.78816
ABCC8	0.0876181
ABCC9	1.74631
ABCD1	4.88691
ABCD2	0.720274
ABCD3	31.8469
ABCD4	10.1898
ABCE1	10.7745
ABCF1	16.1235
ABCF2	11.2191
ABCF3	15.2449
ABCG1	14.9558
ABCG2	4.32922
ABCG4	0.0716588
ABCG5	0.0162804
ABCG8	0.0580872
ABHD1	0.0303442
ABHD10	9.41885
ABHD11	26.6149
ABHD11-AS1	17.6387
ABHD12	26.7152
ABHD12B	0.72538
ABHD13	5.88071
ABHD14A	5.49299
ABHD14A-ACY1	0.0536954
ABHD14B	34.6888
ABHD15	9.11399
ABHD16A	24.1083
ABHD16B	2.09925
ABHD2	13.9566
ABHD3	52.8189
ABHD4	9.04388
ABHD5	6.35536
ABHD6	5.85438
