genes	AMC_13.3_FPKM
A1BG	1.24339
A1BG-AS1	0.101228
A1CF	1.96835
A2LD1	3.75758
A2M	87.9583
A2ML1	0
A2MP1	0
A4GALT	4.93506
A4GNT	0
AA06	0
AAAS	15.4648
AACS	16.0929
AACSP1	0
AADAC	0.201214
AADACL2	0
AADACL3	0
AADACL4	0
AADAT	1.46528
AAED1	3.58942
AAGAB	14.0698
AAK1	1.0988
AAMP	72.2162
AANAT	0.0221098
AARD	0.0237573
AARS	49.8643
AARS2	5.11061
AARSD1	19.3357
AASDH	1.95102
AASDHPPT	9.97105
AASS	0.591131
AATF	26.6866
AATK	4.01838
AATK-AS1	0
ABAT	5.32916
ABCA1	3.27469
ABCA10	0.127135
ABCA11P	2.3091
ABCA12	0
ABCA13	0.0799625
ABCA17P	0.0472949
ABCA2	22.691
ABCA3	1.1154
ABCA4	0.0463912
ABCA5	1.60892
ABCA6	0.364383
ABCA7	4.73455
ABCA8	0.119203
ABCA9	0.246941
ABCB1	4.19636
ABCB10	4.64733
ABCB11	0.0205283
ABCB4	0.249883
ABCB5	0.0683432
ABCB6	4.95511
ABCB7	8.77651
ABCB8	6.67885
ABCB9	1.16997
ABCC1	13.0668
ABCC10	9.50612
ABCC11	0.0196586
ABCC12	0
ABCC13	0.158028
ABCC2	0.298826
ABCC3	27.2105
ABCC4	3.31089
ABCC5	4.66875
ABCC5-AS1	0
ABCC6	3.72768
ABCC6P1	0.411633
ABCC6P2	0.512186
ABCC8	0
ABCC9	1.78671
ABCD1	6.44063
ABCD2	0.0470175
ABCD3	13.5008
ABCD4	6.2495
ABCE1	14.6113
ABCF1	26.2197
ABCF2	19.9504
ABCF3	15.7431
ABCG1	14.5113
ABCG2	0.522404
ABCG4	0.078104
ABCG5	0.0560785
ABCG8	0.0163687
ABHD1	0.0638356
ABHD10	9.43829
ABHD11	47.8847
ABHD11-AS1	26.9711
ABHD12	61.5964
ABHD12B	2.68129
ABHD13	4.8355
ABHD14A	3.4452
ABHD14A-ACY1	0.0263031
ABHD14B	28.6089
ABHD15	7.68685
ABHD16A	37.862
ABHD16B	4.95755
ABHD2	19.7022
ABHD3	9.9963
ABHD4	10.2444
ABHD5	2.28496
ABHD6	3.32827
ABHD8	2.90605
ABI1	29.8032
ABI2	4.93272
ABI3	5.05617
ABI3BP	0.775737
ABL1	17.6583
ABL2	1.61963
ABLIM1	18.6212
ABLIM2	4.85118
ABLIM3	3.5956
ABO	7.78987
ABP1	47.8883
ABR	27.8846
ABRA	0
ABRACL	146.406
ABT1	33.3348
ABTB1	18.181
ABTB2	7.18259
ACAA1	37.0286
ACAA2	73.8903
ACACA	6.22491
ACACB	2.00492
ACAD10	6.54024
ACAD11	2.40293
ACAD8	6.40809
ACAD9	12.5321
ACADL	0.0223688
ACADM	11.3742
ACADS	15.618
ACADSB	2.40235
ACADVL	125.408
ACAN	2.44004
ACAP1	1.36816
ACAP2	4.25153
ACAP3	10.2989
ACAT1	16.1717
ACAT2	39.3577
ACBD3	13.0927
ACBD4	8.93956
ACBD5	9.84928
ACBD6	14.9554
ACBD7	0.274594
ACCS	3.10118
ACCSL	0
ACD	13.7535
ACE	8.83495
ACE2	3.57879
ACER1	0.0603673
ACER2	1.30229
ACER3	3.15198
ACHE	4.06953
ACIN1	29.1635
ACLY	43.6317
ACMSD	0.0418106
ACN9	14.3806
ACO1	13.2982
ACO2	30.8395
ACOT1	2.68892
ACOT11	7.59475
ACOT12	0
ACOT13	15.7555
ACOT2	14.6162
ACOT4	1.73248
ACOT6	0
ACOT7	21.0324
ACOT8	29.1852
ACOT9	24.6258
ACOX1	11.1715
ACOX2	6.77705
ACOX3	4.50111
ACOXL	0.100899
ACP1	61.1282
ACP2	12.3455
ACP5	20.1738
ACP6	3.87911
ACPL2	3.15438
ACPP	0.443961
ACPT	0
ACR	0.99102
ACRBP	1.02488
ACRC	0.362611
ACRV1	0.0621901
ACSBG1	0.0405507
ACSBG2	0
ACSF2	10.325
ACSF3	6.97948
ACSL1	10.5729
ACSL3	23.3508
ACSL4	10.3022
ACSL5	66.5914
ACSL6	0.460876
ACSM1	0.232737
ACSM2A	0
ACSM2B	0
ACSM3	5.49695
ACSM4	0
ACSM5	0.467324
ACSS1	39.5616
ACSS2	33.5196
ACSS3	3.86862
ACTA1	0.0552426
ACTA2	390.866
ACTB	2904.52
ACTBL2	0.0449578
ACTC1	0.166752
ACTG1	1904.29
ACTG1P4	0.103689
ACTG2	26.1809
ACTL10	7.54496
ACTL6A	56.206
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	0.0257446
ACTL9	0
ACTN1	90.3009
ACTN2	0.0374413
ACTN3	0.0112733
