genes	AMC_23.3_FPKM
A1BG	301.208
A1BG-AS1	0.356351
A1CF	7.41655
A2LD1	2.7486
A2M	173.163
A2ML1	0.0148031
A2MP1	0.0252892
A4GALT	1.55068
A4GNT	0.0531497
AA06	0
AAAS	13.2043
AACS	7.73189
AACSP1	0
AADAC	71.1256
AADACL2	0.0243014
AADACL3	0
AADACL4	0
AADAT	5.22961
AAED1	3.2144
AAGAB	16.4801
AAK1	1.26578
AAMP	43.7827
AANAT	0.0363508
AARD	0
AARS	43.3274
AARS2	13.8137
AARSD1	19.7897
AASDH	2.617
AASDHPPT	8.2625
AASS	2.20707
AATF	29.092
AATK	2.19438
AATK-AS1	0
ABAT	30.0832
ABCA1	5.75192
ABCA10	0.551825
ABCA11P	2.07527
ABCA12	0.235099
ABCA13	0.160654
ABCA17P	0
ABCA2	6.67863
ABCA3	0.595322
ABCA4	0.0687748
ABCA5	2.10657
ABCA6	4.35382
ABCA7	1.95819
ABCA8	3.01247
ABCA9	0.883429
ABCB1	3.10359
ABCB10	8.72885
ABCB11	2.66241
ABCB4	7.86654
ABCB5	0.0206917
ABCB6	4.50067
ABCB7	8.58869
ABCB8	6.22983
ABCB9	1.27493
ABCC1	8.65638
ABCC10	16.5963
ABCC11	0.154198
ABCC12	0
ABCC13	0.10378
ABCC2	4.59066
ABCC3	29.1782
ABCC4	4.46137
ABCC5	7.29156
ABCC5-AS1	0
ABCC6	7.54871
ABCC6P1	2.44994
ABCC6P2	2.1283
ABCC8	0.0154562
ABCC9	3.9926
ABCD1	5.53683
ABCD2	0.137742
ABCD3	24.0555
ABCD4	5.81113
ABCE1	16.2095
ABCF1	25.3766
ABCF2	16.1234
ABCF3	22.5187
ABCG1	6.33683
ABCG2	1.32518
ABCG4	0.0618461
ABCG5	7.4864
ABCG8	7.43465
ABHD1	0.167747
ABHD10	11.7001
ABHD11	15.772
ABHD11-AS1	1.69031
ABHD12	31.3966
ABHD12B	0.0455114
ABHD13	4.3915
ABHD14A	3.16467
ABHD14A-ACY1	0.0131321
ABHD14B	25.0192
ABHD15	7.75691
ABHD16A	32.0791
ABHD16B	2.03447
ABHD2	31.5796
ABHD3	10.8029
ABHD4	6.88257
ABHD5	2.82842
ABHD6	7.3565
ABHD8	3.81339
ABI1	51.8655
ABI2	4.597
ABI3	5.95838
ABI3BP	1.81313
ABL1	13.2297
ABL2	2.53539
ABLIM1	12.3478
ABLIM2	2.54046
ABLIM3	5.71962
ABO	7.1839
ABP1	14.3271
ABR	20.5971
ABRA	0.0100412
ABRACL	105.897
ABT1	21.1443
ABTB1	13.7849
ABTB2	6.42348
ACAA1	79.2094
ACAA2	65.2731
ACACA	8.00108
ACACB	3.39481
ACAD10	7.77433
ACAD11	9.48004
ACAD8	8.28217
ACAD9	15.9144
ACADL	1.53871
ACADM	27.872
ACADS	20.7823
ACADSB	19.1646
ACADVL	174.368
ACAN	0.352129
ACAP1	2.63911
ACAP2	6.83136
ACAP3	6.71685
ACAT1	92.7522
ACAT2	27.6857
ACBD3	20.9436
ACBD4	9.26871
ACBD5	16.5107
ACBD6	21.5755
ACBD7	0.471093
ACCS	3.00945
ACCSL	0
ACD	5.5962
ACE	7.4459
ACE2	4.58977
ACER1	0
ACER2	0.990938
ACER3	3.28798
ACHE	2.29729
ACIN1	24.2765
ACLY	43.0872
ACMSD	5.745
ACN9	3.65152
ACO1	16.6514
ACO2	19.9794
ACOT1	5.07958
ACOT11	4.89472
ACOT12	5.84425
ACOT13	8.15282
ACOT2	19.3548
ACOT4	2.07992
ACOT6	0.248466
ACOT7	24.0316
ACOT8	15.34
ACOT9	20.2126
ACOX1	16.5517
ACOX2	13.8586
ACOX3	4.52933
ACOXL	0.305516
ACP1	50.8887
ACP2	27.7745
ACP5	51.2513
ACP6	6.44961
ACPL2	5.1544
ACPP	2.03527
ACPT	0.0246
ACR	0.0737653
ACRBP	1.07708
ACRC	0.221732
ACRV1	0
ACSBG1	0.00869769
ACSBG2	0.00903737
ACSF2	9.61866
ACSF3	3.5384
ACSL1	33.8666
ACSL3	14.1351
ACSL4	13.7144
ACSL5	66.5847
ACSL6	0.207265
ACSM1	0.31079
ACSM2A	8.54273
ACSM2B	15.2378
ACSM3	8.20624
ACSM4	0.0161837
ACSM5	18.8443
ACSS1	15.3158
ACSS2	13.6847
ACSS3	10.2389
ACTA1	0.0184449
ACTA2	159.972
ACTB	2311.53
ACTBL2	0.0387331
ACTC1	0.00838893
ACTG1	1462.29
ACTG1P4	0.015323
ACTG2	10.1211
ACTL10	2.48948
ACTL6A	59.6293
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	0.795679
ACTL9	0
ACTN1	73.0703
ACTN2	0.0115386
ACTN3	0.00737139
ACTN4	124.761
ACTR10	11.3108
ACTR1A	25.6244
ACTR1B	22.0152
ACTR2	148.861
ACTR3	103.748
ACTR3B	3.78388
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	3.79715
ACTR5	4.45192
ACTR6	10.9971
ACTR8	5.01479
ACTRT1	0
ACTRT2	0
ACTRT3	0.958105
ACVR1	9.51486
ACVR1B	12.9555
ACVR1C	0.241236
ACVR2A	2.35034
ACVR2B	0.948035
ACVRL1	7.1096
ACY1	30.9305
ACY3	3.03886
ACYP1	3.36329
ACYP2	4.80831
ADA	8.76231
ADAD1	0
ADAD2	0.0303982
ADAL	1.08218
ADAM1	0.859866
ADAM10	29.8012
ADAM11	0.0678328
ADAM12	3.07016
ADAM15	32.2888
ADAM17	10.55
ADAM18	0
ADAM19	10.0358
ADAM2	0
ADAM20	0.0231332
ADAM20P1	0.0647613
ADAM21	0
ADAM21P1	0
ADAM22	0.468567
ADAM23	0.360072
ADAM28	1.56108
ADAM29	0.0198829
ADAM30	0
ADAM32	0.786742
ADAM33	0.172777
ADAM3A	0
ADAM5P	0
ADAM6	0
ADAM7	0
ADAM8	9.73636
ADAM9	57.7875
ADAMDEC1	5.95451
ADAMTS1	13.9013
ADAMTS10	3.47157
ADAMTS12	2.8789
ADAMTS13	2.16677
ADAMTS14	0.916653
ADAMTS15	0.455661
ADAMTS16	0.108927
ADAMTS17	0.447786
ADAMTS18	0.00966854
ADAMTS19	0
ADAMTS2	12.8154
ADAMTS20	0
ADAMTS3	0.164605
ADAMTS4	11.6469
ADAMTS5	2.54211
ADAMTS6	0.297769
ADAMTS7	2.72504
ADAMTS8	0.0521716
ADAMTS9	3.65716
ADAMTS9-AS2	0.0272227
ADAMTSL1	0.369378
ADAMTSL2	7.42684
ADAMTSL3	1.22399
ADAMTSL4	5.03686
ADAMTSL5	1.4427
ADAP1	19.3136
ADAP2	5.15744
ADAR	43.2786
ADARB1	2.59222
ADARB2	0.0189545
ADARB2-AS1	0
ADAT1	3.56044
ADAT2	1.50062
ADAT3	1.49786
